"endTime","artistName","trackName","msPlayed"
"2019-06-19 17:50","Conro","Close","184000"
"2019-06-19 17:53","Conro","Remember You","189000"
"2019-06-19 17:56","Headhunterz","Unique","194693"
"2019-06-19 17:59","Headhunterz","Unique","194693"
"2019-06-19 18:12","Conro","Remember You - Chill Mix","136325"
"2019-06-20 00:08","j ember","something more","196022"
"2019-06-20 00:20","Fakear","Something Wonderful","60497"
"2019-06-20 03:02","j ember","something more","196022"
"2019-06-20 03:03","j ember","something more","18265"
"2019-06-20 03:06","Delicate Steve","Selfie of a Man","191663"
"2019-06-20 03:11","The Trp","Better","250749"
"2019-06-20 03:14","Conro","Close","221035"
"2019-06-20 03:34","j ember","something more","15513"
"2019-06-20 10:30","XYLØ","Between the Devil and the Deep Blue Sea","231522"
"2019-06-20 10:34","XYLØ","America","256712"
"2019-06-20 10:38","SOAK","Everybody Loves You","199778"
"2019-06-20 10:41","j ember","something more","30113"
"2019-06-20 10:41","j ember","something more","181822"
"2019-06-20 10:44","Crumb","Nina","1430"
"2019-06-20 10:44","Her's","She Needs Him","136823"
"2019-06-20 10:47","Her's","She Needs Him","180198"
"2019-06-20 10:50","Crumb","Nina","200280"
"2019-06-20 10:54","The Walters","She's Gonna Leave You","220000"
"2019-06-20 10:58","Bob Moses","Enough to Believe","279573"
"2019-06-20 11:02","SALES","Renee","179125"
"2019-06-20 11:05","Golden Vessel","Vines (Feki Remix)","5361"
"2019-06-20 11:05","Golden Vessel","Vines (Feki Remix)","748"
"2019-06-20 11:05","Vacations","Relax","15674"
"2019-06-20 11:05","Vacations","Relax","1169"
"2019-06-20 11:05","Vacations","Relax","158573"
"2019-06-20 11:10","Golden Vessel","Vines (Feki Remix)","269452"
"2019-06-20 11:11","Golden Vessel","Vines (Feki Remix)","115"
"2019-06-20 11:11","Saje","Who I Am","67214"
"2019-06-20 11:14","Saje","Who I Am","181572"
"2019-06-20 11:17","Christian Löffler","Haul - Radio Edit","217134"
"2019-06-20 11:22","RY X","To Know","298000"
"2019-06-20 11:25","Banes World","Stay Away from My Baby","162004"
"2019-06-20 11:29","LEISURE","Alone Together","217417"
"2019-06-20 11:30","KAASI","Long Time Coming","52938"
"2019-06-20 11:30","LEISURE","Alone Together","1111"
"2019-06-20 11:33","KAASI","Long Time Coming","203789"
"2019-06-20 11:34","DRAMA","Ready for Love","52975"
"2019-06-20 11:35","KAASI","Long Time Coming","86053"
"2019-06-20 11:40","DRAMA","Ready for Love","269258"
"2019-06-20 11:41","Vallis Alps","Oh!","47413"
"2019-06-20 11:41","DRAMA","Ready for Love","1043"
"2019-06-20 11:44","Vallis Alps","Oh!","202349"
"2019-06-20 11:48","Jerry Folk","All in Me","216304"
"2019-06-20 11:52","Caravan Palace","About You","228279"
"2019-06-20 11:55","Mazde","390","234507"
"2019-06-20 12:06","Inner Wave","Ccbw","48765"
"2019-06-20 13:32","Inner Wave","Ccbw","177773"
"2019-06-20 13:36","filous","Can't Wait","232087"
"2019-06-20 13:37","Loving","Sweet Fruit","105322"
"2019-06-20 13:41","filous","Can't Wait","232087"
"2019-06-20 13:44","Loving","Sweet Fruit","170123"
"2019-06-20 13:48","The Marías","I Like It","203700"
"2019-06-20 13:48","Paul States","Lovely - Acoustic Cover","30896"
"2019-06-20 13:52","Kllo","Virtue","220264"
"2019-06-20 13:53","Shoffy","This Land Is Ours","62581"
"2019-06-20 13:53","Kllo","Virtue","1250"
"2019-06-20 14:06","Shoffy","This Land Is Ours","63081"
"2019-06-20 16:55","Klyne","Ecstacy","1156"
"2019-06-20 16:55","Shoffy","This Land Is Ours","246"
"2019-06-20 16:55","Kllo","Virtue","19564"
"2019-06-20 16:59","filous","Can't Wait","232087"
"2019-06-20 17:02","Conro","Close","201099"
"2019-06-20 17:08","Khamsin","Leaving","282331"
"2019-06-20 17:11","Conro","Close","184000"
"2019-06-20 17:14","j ember","something more","196022"
"2019-06-20 17:19","Shoffy","This Land Is Ours","281417"
"2019-06-20 17:22","Klyne","Ecstacy","215473"
"2019-06-20 17:25","Good Morning","Don't Come Home Today","188906"
"2019-06-20 17:42","Zarina Swan","Loner Lover","288705"
"2019-06-20 17:46","Zarina Swan","Conscious","250958"
"2019-06-20 17:52","Zarina Swan","Well","353462"
"2019-06-20 17:58","Zarina Swan","Run","360202"
"2019-06-20 18:03","Zarina Swan","Chaos","287268"
"2019-06-20 18:07","Zarina Swan","Cynical","242494"
