"endTime","artistName","trackName","msPlayed"
"2018-11-12 14:33","Glass Animals","[Premade Sandwiches]","5824"
"2018-11-22 23:18","Adam Jensen","The Mystic","186879"
"2018-11-23 00:39","THEY.","Say When","7996"
"2018-11-23 03:35","Roy Woods","In the Club","364015"
"2018-11-23 03:37","Andrew McMahon in the Wilderness","Birthday Song","1831"
"2018-11-23 03:37","Alex Clare","Tell Me What You Need","0"
"2018-11-23 03:37","Witt Lowry","Lie Lie Lie (feat. Chris Michaud)","165189"
"2018-11-23 03:37","The Script","Rock the World","534"
"2018-11-23 03:37","XXXTENTACION","ALONE, PART 3","0"
"2018-11-23 03:37","G-Eazy","No Limit","167"
"2018-11-23 03:37","Roy Woods","The Way You Sex","293"
"2018-11-23 03:37","YONAS","Hello (Feat. Living In Ficton)","251"
"2018-11-23 03:41","Roy Woods","Got Me","218084"
"2018-11-23 03:49","X Ambassadors","Giants","75652"
"2018-11-23 03:53","Roy Woods","Medusa","236564"
"2018-11-23 03:56","Roy Woods","Little Bit of Lovin","172874"
"2018-11-23 03:59","Roy Woods","Say Less","0"
"2018-11-23 03:59","Roy Woods","Say Less","170680"
"2018-11-23 03:59","Roy Woods","Take Time (feat. 24hrs)","473"
"2018-11-23 03:59","Roy Woods","Little Bit of Lovin","1694"
"2018-11-23 04:02","Roy Woods","Take Time (feat. 24hrs)","178831"
"2018-11-23 04:24","Roy Woods","Something New","214297"
"2018-11-23 04:27","Roy Woods","Top Left","189853"
"2018-11-23 04:31","Roy Woods","BB","236382"
"2018-11-23 04:36","Roy Woods","Back It Up (feat. PARTYNEXTDOOR)","268778"
"2018-11-23 04:37","Roy Woods","BB","10"
"2018-11-23 04:37","Roy Woods","Say Less","0"
"2018-11-23 04:37","Roy Woods","Say Less","551"
"2018-11-23 04:37","Roy Woods","Take Time (feat. 24hrs)","571"
"2018-11-23 04:37","Roy Woods","Back It Up (feat. PARTYNEXTDOOR)","0"
"2018-11-23 04:37","Roy Woods","Top Left","0"
"2018-11-23 04:37","Roy Woods","Little Bit of Lovin","798"
"2018-11-23 04:37","Roy Woods","Glasses","51294"
"2018-11-23 04:37","Roy Woods","Something New","312"
"2018-11-23 04:41","Roy Woods","Take Time (feat. 24hrs)","234818"
"2018-11-23 04:44","Roy Woods","Something New","214297"
"2018-11-23 04:47","Roy Woods","BB","9170"
"2018-11-23 04:47","Roy Woods","Top Left","161148"
"2018-11-23 04:50","Roy Woods","In the Club","195088"
"2018-11-23 15:06","Roy Woods","Back It Up (feat. PARTYNEXTDOOR)","6231"
"2018-11-23 18:24","Roy Woods","BB","130"
"2018-11-23 18:24","Roy Woods","Say Less","0"
"2018-11-23 18:24","Roy Woods","Take Time (feat. 24hrs)","0"
"2018-11-23 18:24","Roy Woods","Top Left","147"
"2018-11-23 18:24","Roy Woods","Little Bit of Lovin","18"
"2018-11-23 18:24","Roy Woods","Something New","0"
"2018-11-23 18:27","Roy Woods","Medusa","171371"
"2018-11-23 18:29","Roy Woods","Say Less","505"
"2018-11-23 18:29","Roy Woods","Little Bit of Lovin","110999"
"2018-11-23 18:32","Roy Woods","Take Time (feat. 24hrs)","203762"
"2018-11-23 18:34","Roy Woods","Something New","113814"
"2018-11-23 18:36","Roy Woods","Top Left","137957"
"2018-11-23 18:39","Roy Woods","BB","131080"
"2018-11-23 18:41","Roy Woods","Back It Up (feat. PARTYNEXTDOOR)","120186"
"2018-11-23 18:43","Roy Woods","Glasses","178734"
"2018-11-23 18:49","Roy Woods","In the Club","347333"
"2018-11-23 18:51","Roy Woods","The Way You Sex","111508"
"2018-11-23 18:52","Roy Woods","Balance (feat. dvsn & PnB Rock)","0"
"2018-11-23 18:52","Roy Woods","B-Town","378"
"2018-11-23 18:52","Roy Woods","What Are You On?","518"
"2018-11-23 18:52","Roy Woods","Monday to Monday","53783"
"2018-11-23 18:57","Roy Woods","Undivided","37689"
"2018-11-23 18:57","Roy Woods","Balance (feat. dvsn & PnB Rock)","80163"
"2018-11-23 18:57","Roy Woods","B-Town","396"
"2018-11-23 19:01","Roy Woods","Got Me","244567"
"2018-11-23 19:01","NF","I Can Feel It","2215"
"2018-11-23 19:01","Eminem","Public Service Announcement 2000","1642"
"2018-11-23 19:01","Adam Barnes","Lighthouse","0"
"2018-11-23 19:02","Sik World","Tear Me Apart","2220"
"2018-11-23 19:05","OneRepublic","Connection","114008"
"2018-11-23 19:16","Sylvan LaCue","Guilt Trip","23977"
"2018-11-23 22:40","Sylvan LaCue","Guilt Trip","197847"
"2018-11-23 22:56","Roy Woods","Involved","148967"
"2018-11-24 20:08","Roy Woods","Involved","181224"
"2018-11-24 20:10","070 Shake","Stranger","104195"
"2018-11-24 20:13","Roy Woods","Got Me","180627"
"2018-11-24 20:16","NEEDTOBREATHE","Keep Your Eyes Open","0"
"2018-11-24 20:16","TomPepe","The River Runs Deep","0"
"2018-11-24 20:16","Sango","How Do You Love Me","166153"
"2018-11-24 20:16","Eminem","Crack A Bottle","0"
"2018-11-24 20:16","Aloe Blacc","Ticking Bomb","292"
"2018-11-24 20:16","Jerome","Faded","11315"
"2018-11-24 20:16","6LACK","Never Know","0"
"2018-11-24 20:16","Joey Bada$$","LAND OF THE FREE","50"
"2018-11-24 20:16","Michael Jackson","They Don't Care About Us","0"
