Artist,Song,Album,Date
"Gucci Mane, The Weeknd",Curve (feat. The Weeknd),Curve (feat. The Weeknd),"December 27, 2018 at 10:40PM"
The Notorious B.I.G.,NOTORIOUS Music From and Inspired by the Original Motion Picture,Notorious Thugs,"December 27, 2018 at 10:48PM"
M City JR,Addicted To My Ex,Addicted To My Ex,"December 27, 2018 at 10:49PM"
PARTYNEXTDOOR,COLOURS 2,Peace Of Mind,"December 27, 2018 at 11:02PM"
Michael Constantino,Girl Like You,Girl Like You,"December 27, 2018 at 11:14PM"
"Monchy & Alexandra, Alexandra",Hoja En Blanco,Hoja En Blanco,"December 27, 2018 at 11:21PM"
"Maejor, Juicy J, Justin Bieber",Lolly,Lolly,"December 27, 2018 at 11:23PM"
"MadeinTYO, Big Sean",Skateboard P (feat. Big Sean),Skateboard P (feat. Big Sean),"December 27, 2018 at 11:32PM"
"Becky G, Bad Bunny",Mayores,Mayores,"December 27, 2018 at 11:32PM"
Rainbow Kitten Surprise,RKS,Wasted,"December 27, 2018 at 11:34PM"
Train,a girl a bottle a boat,Play That Song,"December 27, 2018 at 11:37PM"
"Hermitude, Estelle",Dark Night Sweet Light,Hazy Love (feat. Estelle) - Bonus Track,"December 27, 2018 at 11:46PM"
Aventura,Love & Hate,Hermanita,"December 27, 2018 at 11:46PM"
Dua Lipa,Be The One,Be The One,"December 27, 2018 at 11:47PM"
"Thundercat, Flying Lotus, Kamasi Washington",The Beyond / Where the Giants Roam,Them Changes (feat. Flying Lotus & Kamasi Washington),"December 27, 2018 at 11:49PM"
Staind,The Illusion Of Progress,This Is It,"December 28, 2018 at 12:03AM"
HAIM,Days Are Gone,If I Could Change Your Mind,"December 28, 2018 at 12:03AM"
Seal,Seal [1994],Kiss From A Rose,"December 28, 2018 at 12:10AM"
BESTIE,Permanent Vacation,Infinity,"December 28, 2018 at 12:15AM"
"Shelton Harris, Mark Diamond, Jaga",Awake,Strangers (feat. Mark Diamond & Jaga),"December 28, 2018 at 12:24AM"
CRUISR,Throw Shade,Throw Shade,"December 28, 2018 at 12:34AM"
The One After None,Slave To Perfection,Slave To Perfection,"December 28, 2018 at 12:37AM"
"Shwayze, Cisco Adler, MOD SUN",Travelin',Travelin',"December 29, 2018 at 12:32AM"
21 Savage,i am > i was,all my friends,"December 29, 2018 at 11:26PM"
Hippo Campus,Landmark,Poems,"December 29, 2018 at 11:56PM"
Aries,RACECAR,RACECAR,"December 30, 2018 at 12:05AM"
Great Gable,GG,Drift,"December 30, 2018 at 12:57AM"
DRAMA,Gallows,Low Tide,"December 30, 2018 at 04:21AM"
"Alina Baraz, Khalid",The Color Of You,Floating (feat. Khalid),"December 30, 2018 at 04:26AM"
Atlas Bound,Lullaby EP,Softer Still,"December 30, 2018 at 09:30AM"
Tora,Latp,Latp,"December 30, 2018 at 09:33AM"
BLAKE,Lately,Lately,"December 30, 2018 at 09:50PM"
Swell,Theres Still Us - EP,I'm Sorry (feat. Shiloh),"December 30, 2018 at 09:53PM"
gianni & kyle,jealous,jealous,"December 30, 2018 at 10:16PM"
Sean Kingston,Breather,Breather,"December 30, 2018 at 10:23PM"
Geoffroy,Coastline,Sleeping on My Own,"December 30, 2018 at 10:26PM"
Chelsea Cutler,You Make Me,You Make Me,"December 30, 2018 at 10:29PM"
Bryan John Appleby,Shoes for Men and Beasts,Cliffs Along the Sea,"December 30, 2018 at 10:31PM"
Healy,Subluxe,Reckless,"December 30, 2018 at 10:36PM"
"Trippie Redd, Bali Baby",A Love Letter To You 2,Woah Woah Woah,"December 30, 2018 at 10:38PM"
"ScHoolboy Q, 2 Chainz, Saudi",Black Panther The Album Music From And Inspired By,X (with 2 Chainz & Saudi),"December 30, 2018 at 10:44PM"
FRENSHIP,1000 Nights,1000 Nights,"December 30, 2018 at 10:49PM"
Bishop Briggs,Bishop Briggs,River,"December 30, 2018 at 10:53PM"
Hedley,Cageless,Better Days,"December 30, 2018 at 11:00PM"
The Maine,Lovely Little Lonely,Black Butterflies and Déjà Vu,"December 30, 2018 at 11:04PM"
Spilt Milk Society,She Tastes Like Summer,She Tastes Like Summer,"December 30, 2018 at 11:04PM"
"Imad Royal, gnash",Bad 4 U (feat. gnash),Bad 4 U (feat. gnash),"December 30, 2018 at 11:08PM"
Dean Lewis,Same Kind Of Different,Chemicals,"December 30, 2018 at 11:08PM"
"Lemaitre, Stanaj",Chapter One,Playing To Lose,"December 30, 2018 at 11:13PM"
Forest Blakk,Love Me,Love Me,"December 30, 2018 at 11:16PM"
Tom Walker,Just You and I (Acoustic),Just You & I - Acoustic,"December 30, 2018 at 11:21PM"
"Vice, Jon Bellion",Obsession (feat. Jon Bellion),Obsession (feat. Jon Bellion),"December 30, 2018 at 11:24PM"
The New Coast,Home,Home,"December 30, 2018 at 11:25PM"
"Chord Overstreet, Deepend",Hold On (Remix),Hold On - Remix,"December 30, 2018 at 11:32PM"
Jessie Reyez,Kiddo,Figures,"December 30, 2018 at 11:40PM"
Hearts & Colors,For The Love,For The Love,"December 30, 2018 at 11:42PM"
Fitz and The Tantrums,Fitz and The Tantrums (Deluxe),Fool,"December 30, 2018 at 11:47PM"
Hey Violet,From The Outside,Hoodie,"December 30, 2018 at 11:48PM"
Noah Kahan,Hurt Somebody,Hurt Somebody,"December 30, 2018 at 11:52PM"
Fitz and The Tantrums,Fitz and The Tantrums (Deluxe),Fool,"December 30, 2018 at 11:53PM"
"Life of Dillon, L Marshall",Focus,Focus,"December 30, 2018 at 11:53PM"
"Vian Izak, Noble",Starlit Summer's Eve (Noble Remix),Starlit Summer's Eve - Noble Remix,"December 31, 2018 at 02:39PM"
Zachary Knowles,thoughts inside my head,thoughts inside my head,"December 31, 2018 at 05:29PM"
Benji Lewis,Drift,Drift,"December 31, 2018 at 05:29PM"
Jeremy Zucker,glisten,all the kids are depressed,"December 31, 2018 at 05:29PM"
Benji Lewis,Drift,Drift,"December 31, 2018 at 08:30PM"
Bogie,Slow It Down,Slow It Down,"January 1, 2019 at 12:23AM"
Thomston,Topograph,Headspace,"January 1, 2019 at 12:33AM"
The Griswolds,High Times For Low Lives,Out Of My Head,"January 1, 2019 at 01:07AM"
Skinny,1999 Parachutes,100 Times,"January 1, 2019 at 01:22AM"
Greta Stanley,Bedroom City,Bedroom City,"January 1, 2019 at 01:22AM"
Finding Hope,Midnight Colors,Midnight Colors,"January 1, 2019 at 01:30AM"
Green or Blue,A Shot Below the Moon,In Love With a Liar,"January 1, 2019 at 01:38AM"
Lincoln,A Constant State of Ohio,Downhill,"January 1, 2019 at 01:38AM"
Jake Mirador,Rabbit Hole,Rabbit Hole,"January 1, 2019 at 01:47AM"
Vinyl Theatre,Origami,Thank You For The Good Times,"January 1, 2019 at 01:52AM"
Thick As Thieves,Love Me Blind,Love Me Blind,"January 1, 2019 at 01:55AM"
Katie and I,Wolves - EP,Bones,"January 1, 2019 at 02:01AM"
Stephen,Sincerely,Your Life,"January 1, 2019 at 02:02AM"
"TeZATalks, Kody Ryan",Love (Acoustic),Love - Acoustic,"January 1, 2019 at 02:06AM"
Jon Bryant,Twenty Something,Don't Wait,"January 1, 2019 at 02:14AM"
Garrett Garfield,Drown,Drown,"January 1, 2019 at 02:16AM"
Bonavox,Bonavox EP,Story of the World,"January 1, 2019 at 02:30AM"
grandson,Best Friends,Best Friends,"January 1, 2019 at 12:16PM"
"Daddy Yankee, Anuel Aa",Adictiva,Adictiva,"January 1, 2019 at 12:20PM"
grandson,a modern tragedy vol. 1,Overdose,"January 1, 2019 at 12:25PM"
The Holdup,Acting Up,Acting Up,"January 1, 2019 at 01:18PM"
Shaina Taub,Visitors,Room,"January 1, 2019 at 01:19PM"
Catfish and the Bottlemen,The Ride,7,"January 1, 2019 at 01:24PM"
Cavetown,Lemon Boy,Fool,"January 1, 2019 at 01:24PM"
"Post Malone, Swae Lee",Sunflower (Spider-Man: Into the Spider-Verse),Sunflower - Spider-Man: Into the Spider-Verse,"January 1, 2019 at 01:28PM"
"Niall Horan, Maren Morris",Flicker (Deluxe),Seeing Blind,"January 1, 2019 at 01:33PM"
Twenty One Pilots,My Blood And A Few Others From Trench,My Blood,"January 1, 2019 at 04:30PM"
J Balvin,Vibras,Ambiente,"January 1, 2019 at 04:30PM"
Anuel Aa,Real Hasta la Muerte,Quiere Beber,"January 1, 2019 at 04:30PM"
SOB X RBE,Black Panther The Album Music From And Inspired By,Paramedic!,"January 1, 2019 at 04:30PM"
Elliot Moss,Boomerang,Falling Down and Getting Hurt,"January 1, 2019 at 04:47PM"
Jungle,For Ever,Casio,"January 1, 2019 at 06:27PM"
Durand Jones & The Indications,Durand Jones & The Indications (Deluxe Edition),Is It Any Wonder?,"January 1, 2019 at 06:29PM"
dijon,Skin,Skin,"January 1, 2019 at 06:35PM"
"Boombox Cartel, Nevve",Whisper,Whisper,"January 1, 2019 at 06:39PM"
Billie Eilish,dont smile at me,watch,"January 1, 2019 at 06:39PM"
PLVTINUM,Drunk Enough to Say That I Love You,Drunk Enough to Say That I Love You,"January 1, 2019 at 06:39PM"
"Hoodie Allen, Scott Hoying",The Hype,All for Me,"January 1, 2019 at 06:42PM"
"Travis Scott, Skrillex",SICKO MODE (Skrillex Remix),SICKO MODE - Skrillex Remix,"January 1, 2019 at 06:42PM"
"Josh A, Iamjakehill",Better off Dead,Gucci Coffin,"January 1, 2019 at 06:52PM"
"Marshmello, Bastille",Happier,Happier,"January 1, 2019 at 06:53PM"
Dean Lewis,Be Alright,Be Alright,"January 1, 2019 at 06:54PM"
Joyner Lucas,I Love,I Love,"January 1, 2019 at 09:26PM"
"Lil Uzi Vert, Oh Wonder",Luv Is Rage 2,The Way Life Goes (feat. Oh Wonder),"January 2, 2019 at 11:08AM"
"Troye Sivan, Ariana Grande",Bloom,Dance To This (feat. Ariana Grande),"January 2, 2019 at 11:45AM"
Goldwash,Episode,Won't Cry,"January 2, 2019 at 11:48AM"
Jesse,&,Bloom Later,"January 2, 2019 at 11:50AM"
Bearface,"Moosetape, Vol. 1",Taste My Sad,"January 2, 2019 at 11:53AM"
BRIDGE,Wreck,Lord Knows,"January 2, 2019 at 11:58AM"
Absofacto,Thousand Peaces,Dissolve,"January 2, 2019 at 11:59AM"
"Pell, Saba",girasoul,throwback (feat. Saba) (feat. Saba),"January 2, 2019 at 12:04PM"
Francis and the Lights,Just for Us,Cruise,"January 2, 2019 at 12:08PM"
Cuco,Wannabewithu,Amor de Siempre,"January 2, 2019 at 12:11PM"
"Louis The Child, K.Flay",It's Strange (feat. K.Flay),It's Strange (feat. K.Flay),"January 2, 2019 at 12:19PM"
"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),"January 2, 2019 at 12:24PM"
The Neighbourhood,Wiped Out!,Daddy Issues,"January 2, 2019 at 12:25PM"
Young Thug,Barter 6,Halftime,"January 2, 2019 at 12:25PM"
"Cassius Jay, Peewee Longway",All Eyes on Me,Jug for Me,"January 2, 2019 at 12:25PM"
"A$AP Mob, A$AP ANT, Lil Uzi Vert",Cozy Tapes: Vol. 1 Friends -,Runner,"January 2, 2019 at 12:25PM"
King Louie,Drilluminati,My Hoes They Do Drugs,"January 2, 2019 at 12:25PM"
King Louie,Live and Die in Chicago,Live and Die in Chicago,"January 2, 2019 at 12:27PM"
"Mystikal, Juvenile",Tarantula,Settle The Score,"January 2, 2019 at 01:24PM"
flora cash,Nothing Lasts Forever (And It's Fine),You're Somebody Else,"January 2, 2019 at 01:24PM"
Roy Woods,Nocturnal,Dangerous,"January 2, 2019 at 01:33PM"
Lil Uzi Vert,Luv Is Rage 2,Pretty Mami,"January 2, 2019 at 02:15PM"
"Kavinsky, The Weeknd",Odd Look,Odd Look,"January 2, 2019 at 02:16PM"
"Blood Orange, A$AP Rocky, Project Pat",Negro Swan,Chewing Gum,"January 2, 2019 at 02:23PM"
"Earth, Wind & Fire",Open Our Eyes,Devotion,"January 2, 2019 at 02:33PM"
6ix9ine,Day69: Graduation Day,GOTTI,"January 2, 2019 at 04:32PM"
Saint Motel,saintmotelevision,Sweet Talk,"January 2, 2019 at 04:51PM"
MYKEY,Indie / Pop / Folk Compilation - September 2017,Running With the Wolves,"January 2, 2019 at 04:52PM"
BROCKHAMPTON,iridescence,DISTRICT,"January 2, 2019 at 06:55PM"
EXES,Grey,Grey,"January 2, 2019 at 06:58PM"
Young the Giant,Young the Giant (Special Edition),Guns Out,"January 2, 2019 at 09:19PM"
Sanders Bohlke,Search and Destroy,Search and Destroy,"January 2, 2019 at 09:26PM"
"PARTYNEXTDOOR, Drake",PARTYNEXTDOOR TWO,Recognize (feat. Drake),"January 2, 2019 at 09:35PM"
Trippie Redd,LIFE'S A TRIP,Bird Shit,"January 2, 2019 at 09:43PM"
"Daft Punk, Panda Bear",Random Access Memories,Doin' it Right,"January 2, 2019 at 09:43PM"
PARTYNEXTDOOR,PARTYNEXTDOOR,Right Now,"January 2, 2019 at 09:48PM"
NAV,RECKLESS,Hold Your Hand,"January 2, 2019 at 09:52PM"
NAV,RECKLESS,Never Change,"January 2, 2019 at 09:52PM"
"6ix9ine, DJ SpinKing",TATI,TATI,"January 2, 2019 at 09:53PM"
"Post Malone, Nicki Minaj",beerbongs & bentleys,Ball For Me (feat. Nicki Minaj),"January 2, 2019 at 09:55PM"
Kanye West,The Life Of Pablo,Famous,"January 2, 2019 at 09:56PM"
lovelytheband,finding it hard to smile,these are my friends,"January 2, 2019 at 09:57PM"
"Justin Timberlake, Chris Stapleton",Man of the Woods,Say Something,"January 2, 2019 at 09:57PM"
Elijah Woods x Jamie Fine,Ain't Easy (THE LAUNCH),Ain't Easy - THE LAUNCH,"January 2, 2019 at 09:57PM"
"Zedd, Bahari",True Colors,Addicted To A Memory,"January 2, 2019 at 09:57PM"
Taylor Swift,reputation,So It Goes...,"January 2, 2019 at 09:57PM"
PARTYNEXTDOOR,PARTYNEXTDOOR TWO,East Liberty,"January 2, 2019 at 10:01PM"
Takeoff,The Last Rocket,Lead The Wave,"January 2, 2019 at 10:28PM"
Lil Wayne,Tha Carter V,Let It All Work Out,"January 2, 2019 at 10:28PM"
Travis Scott,ASTROWORLD,YOSEMITE,"January 2, 2019 at 10:30PM"
EARTHGANG,Shallow Graves For Toys,Machete,"January 2, 2019 at 10:31PM"
"Ozuna, Romeo Santos",El Farsante (Remix),El Farsante - Remix,"January 2, 2019 at 10:31PM"
"Reykon, Cosculluela",Domingo (feat. Cosculluela),Domingo (feat. Cosculluela),"January 2, 2019 at 10:37PM"
"Lil Baby, Gunna, Lil Uzi Vert",Harder Than Ever,Life Goes On,"January 2, 2019 at 10:41PM"
Anderson .Paak,Bubblin,Bubblin,"January 2, 2019 at 10:43PM"
Rex Orange County,Sunflower,Sunflower,"January 2, 2019 at 10:44PM"
The Vamps,Just My Type,Just My Type,"January 2, 2019 at 10:44PM"
"HONNE, Georgia",Location Unknown ◐ / 306 ◑,Location Unknown ◐,"January 2, 2019 at 10:44PM"
Speaker Knockerz,Married to the Money II #Mttm2,Lonely,"January 2, 2019 at 10:47PM"
"Yo Gotti, Kendall Morgan",I Am,Don't Come Around,"January 2, 2019 at 10:58PM"
"Quavo, Travis Scott",QUAVO HUNCHO,RERUN (feat. Travis Scott),"January 3, 2019 at 09:04AM"
Drake,More Life,Free Smoke,"January 3, 2019 at 09:04AM"
"Drake, Future",Views,Grammys,"January 3, 2019 at 09:04AM"
Jackboy,Grimace,Grimace,"January 3, 2019 at 09:04AM"
Kodak Black,"If I'm Lyin, I'm Flyin","If I'm Lyin, I'm Flyin","January 3, 2019 at 09:04AM"
"Usher, Juicy J",I Don't Mind (feat. Juicy J),I Don't Mind (feat. Juicy J),"January 3, 2019 at 09:04AM"
A Boogie Wit da Hoodie,Artist,Jungle,"January 3, 2019 at 09:04AM"
Bobby Shmurda,Shmurda She Wrote,Bobby B*tch,"January 3, 2019 at 09:04AM"
grandson,Blood // Water,Blood // Water,"January 3, 2019 at 09:08AM"
Eric Benét,Hurricane (U.S. Release),My Prayer,"January 3, 2019 at 09:11AM"
"Zaytoven, Future",Trapholizay,Mo Reala,"January 3, 2019 at 09:12AM"
Majid Jordan,Majid Jordan,Something About You,"January 3, 2019 at 09:15AM"
Lil Wayne,Tha Carter III,Let The Beat Build,"January 3, 2019 at 09:21AM"
Tarro,yøuth.,yøuth.,"January 3, 2019 at 03:17PM"
Travis Scott,Birds In The Trap Sing McKnight,coordinate,"January 3, 2019 at 04:07PM"
Travis Scott,Birds In The Trap Sing McKnight,sweet sweet,"January 3, 2019 at 05:35PM"
Hoodie Allen,All American,No Interruption,"January 3, 2019 at 05:37PM"
Hippie Sabotage,The Sunny Album (Deluxe Edition),Your Soul,"January 3, 2019 at 05:38PM"
Michael Calfan,Prelude,Prelude,"January 3, 2019 at 06:06PM"
Travis Scott,Rodeo (Deluxe),Impossible,"January 3, 2019 at 06:06PM"
"Mike Jones, Lil Wayne, T-Pain, Twista",The Voice,"Cuddy Buddy (feat. Lil Wayne, T-Pain & Twista)","January 3, 2019 at 06:06PM"
"Juicy J, A$AP Rocky",Stay Trippy,Scholarship,"January 3, 2019 at 06:06PM"
Peewee Longway,The Blue M&M 2 (King Size),California,"January 3, 2019 at 06:06PM"
Peewee Longway,The Blue M&M 2 (King Size),Big Homie,"January 3, 2019 at 06:06PM"
"Mystikal, Butch Cassidy",Tarantula,Tarantula,"January 3, 2019 at 06:06PM"
Lil Wayne,Tha Carter V,Demon,"January 3, 2019 at 06:06PM"
Beach Fossils,Clash the Truth,Sleep Apnea,"January 3, 2019 at 06:07PM"
"Cash Cash, Abir",Finest Hour (feat. Abir),Finest Hour (feat. Abir),"January 3, 2019 at 06:11PM"
Peter Bjorn and John,Writer's Block,Young Folks,"January 3, 2019 at 06:30PM"
Still Corners,Strange Pleasures,The Trip,"January 3, 2019 at 06:45PM"
"Saba, theMIND",CARE FOR ME,BUSY / SIRENS,"January 3, 2019 at 06:59PM"
Saba,CARE FOR ME,BROKEN GIRLS,"January 3, 2019 at 06:59PM"
"Lil Wayne, XXXTENTACION",Tha Carter V,Don't Cry (feat. XXXTENTACION),"January 3, 2019 at 06:59PM"
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",Day69: Graduation Day,KEKE,"January 3, 2019 at 07:01PM"
"Future, Young Thug",SUPER SLIMEY,No Cap,"January 3, 2019 at 07:19PM"
Quinn XCII,Change of Scenery,Another Day in Paradise,"January 3, 2019 at 07:26PM"
