"endTime","artistName","trackName","msPlayed"
"2019-04-11 04:04","Sylvan LaCue","Loner (feat. Linzi Jai)","204624"
"2019-04-11 04:07","Andrew McMahon in the Wilderness","Driving Through A Dream","9813"
"2019-04-11 04:07","Amir Obe","CIGARETTES","190000"
"2019-04-11 04:10","Rainbow Kitten Surprise","All's Well That Ends","206626"
"2019-04-11 04:14","Wingtip","Pavement","196613"
"2019-04-11 13:03","Echos","Euphoria","240082"
"2019-04-11 13:06","Rainbow Kitten Surprise","All's Well That Ends","206626"
"2019-04-11 13:10","slenderbodies","lucid","247231"
"2019-04-11 13:14","EXES","Cain","216000"
"2019-04-11 13:30","Beshken","The Roman Call","105028"
"2019-04-11 14:42","Beshken","The Roman Call","150894"
"2019-04-11 15:13","slenderbodies","lucid","360"
"2019-04-11 15:13","Rainbow Kitten Surprise","All's Well That Ends","0"
"2019-04-11 15:13","Wingtip","Pavement","1032"
"2019-04-11 15:18","slenderbodies","lucid","260625"
"2019-04-11 15:21","Rainbow Kitten Surprise","All's Well That Ends","206626"
"2019-04-11 15:26","Konoba","On Our Knees (feat. R.O)","277493"
"2019-04-11 15:31","Richard Hawley","The Ocean","336560"
"2019-04-11 15:36","R.O","Why Don't You Talk to Me","249000"
"2019-04-11 15:40","Forrest.","Grandpop's Uke","246506"
"2019-04-11 15:40","A$AP Rocky","Canal St.","8788"
"2019-04-11 15:43","Yo Gotti","Don't Come Around","0"
"2019-04-11 15:43","A R I Z O N A","Let Me Touch Your Fire","195864"
"2019-04-11 15:43","cøzybøy","i swear this søng is abøut eating øut my best friend's pussy","647"
"2019-04-11 15:46","cøzybøy","i swear this søng is abøut eating øut my best friend's pussy","188235"
"2019-04-11 15:49","Yo Gotti","Don't Come Around","190573"
"2019-04-11 15:55","Aeble","Better By Your Side","319917"
"2019-04-11 15:59","Echos","Euphoria","240082"
"2019-04-11 16:02","EXES","Cain","216000"
"2019-04-11 16:07","slenderbodies","lucid","260625"
"2019-04-11 16:10","Rainbow Kitten Surprise","All's Well That Ends","206626"
"2019-04-11 16:11","Roy Woods","Go Go Go","69488"
"2019-04-11 16:15","slenderbodies","anemone","228061"
"2019-04-11 16:21","Hippie Sabotage","Your Soul","324806"
"2019-04-11 16:23","Elliot Moss","99","89341"
"2019-04-11 16:26","SYML","WDWGILY","217843"
"2019-04-11 16:30","OIJ","Seconds Away From Love","225512"
"2019-04-11 16:33","James Vincent McMorrow","West Coast","205666"
"2019-04-11 16:38","slenderbodies","oasis","269077"
