"endTime","artistName","trackName","msPlayed"
"2019-09-06 12:11","TENDER","More or Less","200386"
"2019-09-06 12:11","TENDER","No Devotion","1024"
"2019-09-06 13:18","Post Malone","Hollywood's Bleeding","156266"
"2019-09-06 13:22","Post Malone","A Thousand Bad Times","221173"
"2019-09-06 13:25","Post Malone","Myself","158120"
"2019-09-06 13:27","Post Malone","Saint-Tropez","150866"
"2019-09-06 13:30","Post Malone","I Know","141413"
"2019-09-06 13:33","Post Malone","Enemies (feat. DaBaby)","196760"
"2019-09-06 13:35","Post Malone","Wow.","149546"
"2019-09-06 13:39","Post Malone","Die For Me (feat. Future & Halsey)","245266"
"2019-09-06 13:42","Post Malone","Sunflower - Spider-Man: Into the Spider-Verse","157560"
"2019-09-06 13:46","Post Malone","Congratulations","220293"
"2019-09-06 13:48","Post Malone","On The Road (feat. Meek Mill & Lil Baby)","703"
"2019-09-06 13:48","Post Malone","Circles","0"
"2019-09-06 13:48","Big Gigantic","Friends","79550"
"2019-09-06 13:51","Post Malone","Circles","215280"
"2019-09-06 13:56","Post Malone","On The Road (feat. Meek Mill & Lil Baby)","218320"
"2019-09-06 14:01","Post Malone","Take What You Want (feat. Ozzy Osbourne & Travis Scott)","261942"
"2019-09-06 14:04","Post Malone","Goodbyes (feat. Young Thug)","174853"
"2019-09-06 14:06","Post Malone","Staring At The Sun (feat. SZA)","168280"
"2019-09-06 14:10","Post Malone","I'm Gonna Be","200680"
"2019-09-06 14:17","Post Malone","Internet","123386"
"2019-09-06 14:20","Post Malone","Allergic","156893"
"2019-09-06 14:24","Echos","Euphoria","240082"
"2019-09-06 14:25","James Arthur","Recovery","0"
"2019-09-06 14:29","Echos","Graves","190135"
"2019-09-06 14:33","Echos","Revival","279069"
"2019-09-06 14:37","Echos","Vacant","221721"
"2019-09-06 14:41","Echos","1216","240325"
"2019-09-06 14:44","Echos","Seraphin","181260"
"2019-09-06 14:47","Echos","Shrines","168872"
"2019-09-06 14:51","Echos","Running","278192"
"2019-09-06 14:55","Echos","My Blood","195950"
"2019-09-06 14:58","Echos","Your Self Lingers","191498"
"2019-09-06 15:00","Echos","Guest Room","1225"
"2019-09-06 15:01","Echos","Your Self Lingers","17832"
"2019-09-06 15:05","Echos","Euphoria","240082"
"2019-09-06 15:09","Echos","1216","240325"
"2019-09-06 15:13","Echos","Guest Room","258381"
"2019-09-06 15:17","Echos","Saints","240774"
"2019-09-06 15:23","Aquilo","Silhouette","228577"
"2019-09-06 15:28","Lana Del Rey","The Next Best American Record","349347"
"2019-09-06 15:36","Lord Huron","The Night We Met","374504"
"2019-09-06 15:41","TENDER","When They Come For You","319076"
"2019-09-06 15:45","TENDER","Can't Show My Face","249120"
"2019-09-06 15:50","Andrew Belle","Pieces","241119"
"2019-09-06 15:54","TENDER","Armour","250152"
"2019-09-06 15:57","TENDER","Melt","221290"
"2019-09-06 16:01","TENDER","Bleed","209142"
"2019-09-06 16:09","TENDER","Legion","192645"
"2019-09-06 16:12","TENDER","Crawl","209066"
"2019-09-06 16:19","TENDER","Belong","75650"
"2019-09-06 16:23","TENDER","Crawl","209066"
"2019-09-06 16:27","Kasbo","Aldrig Mer (feat. TENDER)","200674"
"2019-09-06 16:27","TENDER","Nadir","23588"
"2019-09-06 16:32","Aquilo","Silhouette","292916"
"2019-09-06 16:36","The Paper Kites","Bloom - Bonus Track","210080"
"2019-09-06 16:38","Aquilo","Human","52161"
"2019-09-06 16:42","Aquilo","Silhouette","219906"
"2019-09-06 16:48","City of the Sun","Everything","337999"
"2019-09-06 16:53","Koresma","Far Away Coast","197014"
"2019-09-06 17:10","Koresma","Canyon Walls","185909"
"2019-09-06 17:32","Konoba","On Our Knees (feat. R.O)","53412"
"2019-09-06 18:55","Ritt Momney","Something, in General","2693"
"2019-09-06 18:59","Tipling Rock","TMSN - Remix","190750"
"2019-09-06 19:02","Lockah","Some Velvet Evening","152"
"2019-09-06 19:02","pluko","Feel The Fire - Breath Vocal Mix","201008"
"2019-09-06 19:02","San Holo","The Future - Andrew Luce Remix","210"
"2019-09-06 19:02","San Holo","The Future - Andrew Luce Remix","0"
"2019-09-06 19:07","Lockah","Some Velvet Evening","250000"
"2019-09-06 19:10","San Holo","The Future - Andrew Luce Remix","193817"
"2019-09-06 19:14","Isbells","Reunite","234335"
"2019-09-06 19:23","Crystal Fighters","At Home","306440"
"2019-09-06 19:28","FKJ","Vibin' Out with ((( O )))","311837"
"2019-09-06 19:32","Feverkin","Sinking","237000"
"2019-09-06 19:36","Koresma","Far Away Coast","197014"
"2019-09-06 19:39","Koresma","Canyon Walls","223852"
"2019-09-06 19:45","Balthazar","Fever","365080"
"2019-09-06 19:46","Koresma","Bluff","22665"
"2019-09-06 19:50","Andrew Belle","Pieces","241119"
"2019-09-06 19:52","Porter Robinson","Flicker","150176"
"2019-09-06 19:56","Anfa Rose","Substance","232000"
"2019-09-06 19:58","Angel Snow","Secret","128951"
"2019-09-06 20:09","Angel Snow","These Days","228863"
"2019-09-06 20:09","Angel Snow","Photographs","4088"
"2019-09-06 20:11","Angel Snow","Something’s Got a Hold on Me","134831"
"2019-09-06 20:15","Angel Snow","Coals and Water","220093"
"2019-09-06 20:18","Angel Snow","Lie Awake","189266"
"2019-09-06 20:21","Angel Snow","Secret - Alternate Mix","196560"
"2019-09-06 20:26","Angus & Julia Stone","Chateau","273533"
"2019-09-06 20:27","Angus & Julia Stone","Chateau - ARTY Remix","76666"
"2019-09-06 20:31","Angus & Julia Stone","Bloodhound","238146"
"2019-09-06 20:32","Angus Maude","Penny Jane","58432"
"2019-09-06 20:35","Angus Maude","95 Golf","184040"
"2019-09-06 20:36","Angus Maude","Blonde Sun","57061"
"2019-09-06 20:39","EDEN","XO","159512"
"2019-09-06 20:44","EDEN","start//end","333967"
"2019-09-06 20:55","Angus Maude","Limestone City","3900"
"2019-09-06 21:42","Kodaline","All I Want","305746"
"2019-09-06 21:44","Barcelona","Please Don't Go","107621"
"2019-09-06 21:48","Joel Adams","Please Don't Go","210580"
"2019-09-06 21:52","Barcelona","Drop Everything","271853"
"2019-09-06 21:57","Kodaline","Autopilot","258613"
"2019-09-06 22:00","Kygo","Raging (feat. Kodaline)","224486"
"2019-09-06 22:04","Astronomyy","Things I'd Do for U","210361"
"2019-09-06 22:09","Billie Eilish","Ocean Eyes - Astronomyy Remix","296266"
"2019-09-06 22:14","AWOLNATION","Drinking Lightning","308178"
"2019-09-06 22:21","Axel Thesleff","Bad Karma","416000"
"2019-09-06 22:25","BANNERS","Start A Riot","215960"
"2019-09-06 22:29","BANNERS","Gold Dust","255853"
"2019-09-06 22:29","BANNERS","Someone To You","1925"
"2019-09-06 22:29","BANNERS","Holy Ground","2541"
"2019-09-06 22:33","Bassline Drift","Proximity","248000"
"2019-09-06 22:37","Bassnectar","Illusion (feat. Born I)","231200"
"2019-09-06 22:40","Ben Rector","Drive","197386"
"2019-09-06 22:44","Beshken","The Roman Call","238386"
"2019-09-06 22:48","BONES","Sodium","113684"
"2019-09-06 22:50","Billie Eilish","ilomilo","156370"
"2019-09-06 22:54","Jauz","Ghost","201333"
"2019-09-06 22:57","Black Coast","Trndsttr (feat. M. Maggie) - Lucian Remix","179658"
"2019-09-06 23:00","Lucian","Fly by Night (feat. Noé)","210461"
"2019-09-06 23:06","Birdtalker","Blue Healer","318828"
"2019-09-06 23:12","Birdy","Let It All Go","280757"
"2019-09-06 23:16","Blind Pilot","3 Rounds and a Sound","266960"
"2019-09-06 23:19","BOY $COUT GATSBY","DIAMONDS","139911"
"2019-09-06 23:23","FRND","Sticks and Stones","229891"
"2019-09-06 23:28","Magic City Hippies","Hush","319124"
"2019-09-06 23:31","Mickey Valen","Meet Me","193379"
"2019-09-06 23:37","What So Not","Lone - Slow Hours Remix","272999"
"2019-09-06 23:41","Zeds Dead","Blame","218493"
"2019-09-06 23:46","Conner Youngblood","A Summer Song","349500"
"2019-09-06 23:53","Porter Robinson","Fellow Feeling","350173"
"2019-09-06 23:56","Khamsin","Leaving","212021"
"2019-09-07 00:09","Conro","Close","101"
"2019-09-07 01:50","Conro","Close","183905"
"2019-09-07 01:54","Alina Baraz","Electric (Electric Mantis Remix)","233114"
"2019-09-07 01:59","Kodaline","All I Want","305746"
"2019-09-07 02:04","Coldplay","Swallowed in the Sea","239001"
"2019-09-07 02:21","Lana Del Rey","The Next Best American Record","344367"
"2019-09-07 02:39","Albert Hammond, Jr.","Set to Attack","10499"
"2019-09-07 02:44","TENDER","Handmade Ego","2686"
"2019-09-07 02:44","TENDER","Can't Show My Face","245882"
"2019-09-07 02:50","TENDER","Handmade Ego","309640"
"2019-09-07 02:54","TENDER","Tar","284040"
"2019-09-07 02:58","TENDER","Slow Love","252106"
"2019-09-07 03:03","TENDER","Closer Still","250548"
"2019-09-07 03:07","TENDER","Tainted","240373"
"2019-09-07 03:15","TENDER","Fear of Falling Asleep","493417"
"2019-09-07 03:20","TENDER","Bottled Up","286613"
"2019-09-07 03:24","TENDER","Lower","239053"
"2019-09-07 03:27","TENDER","More or Less","200386"
"2019-09-07 03:31","TENDER","No Devotion","207400"
"2019-09-07 03:34","TENDER","When They Come For You","219920"
"2019-09-07 03:38","TENDER","Can't Show My Face","249120"
"2019-09-07 12:01","TENDER","Handmade Ego","309640"
"2019-09-07 12:06","TENDER","Tar","284040"
"2019-09-07 12:10","TENDER","Slow Love","252106"
"2019-09-07 12:14","TENDER","Closer Still","250548"
"2019-09-07 12:18","TENDER","Tainted","240373"
"2019-09-07 12:22","TENDER","Fear of Falling Asleep","250506"
"2019-09-07 12:27","TENDER","Bottled Up","286613"
"2019-09-07 12:31","TENDER","Lower","239053"
"2019-09-07 12:34","TENDER","More or Less","200386"
"2019-09-07 12:38","TENDER","No Devotion","235420"
"2019-09-07 12:42","TENDER","When They Come For You","219920"
"2019-09-07 12:46","TENDER","Can't Show My Face","249120"
"2019-09-07 13:16","Sonder","Too Fast","308005"
"2019-09-07 13:22","TENDER","Illuminate","190706"
"2019-09-07 13:26","TENDER","Nadir","241946"
"2019-09-07 13:29","TENDER","Hypnotised","215333"
"2019-09-07 13:33","TENDER","Crawl","209066"
"2019-09-07 13:37","TENDER","Erode","249920"
"2019-09-07 13:42","TENDER","Silence","240953"
"2019-09-07 13:44","TENDER","Machine","169520"
"2019-09-07 13:48","TENDER","Sickness","215693"
"2019-09-07 13:51","TENDER","Vow","204426"
"2019-09-07 13:56","TENDER","Blame","259333"
"2019-09-07 13:59","TENDER","Powder","186960"
"2019-09-07 14:04","TENDER","Trouble","278893"
"2019-09-07 14:08","Aquilo","Silhouette","230416"
"2019-09-07 14:12","slenderbodies","arrival","246746"
"2019-09-07 14:17","alt-J","Nara","296057"
"2019-09-07 14:23","alt-J","Bloodflood pt. II","319497"
"2019-09-07 14:27","Amir Obe","The Only","218070"
"2019-09-07 14:31","Echos","Euphoria","240082"
"2019-09-07 14:35","Cold War Kids","Restless","292680"
