"endTime","artistName","trackName","msPlayed"
"2019-10-29 18:58","Headhunterz","Unique","320"
"2019-10-29 18:59","Alina Baraz","Make You Feel","72161"
"2019-10-29 19:04","Nick Murphy / Chet Faker","I'm Into You","263693"
"2019-10-29 19:07","Khai","Do You Go Up - Kidswaste Remix","204391"
"2019-10-29 19:08","ODESZA","All We Need (feat. Shy Girls) - Beat Connection Remix","67337"
"2019-10-29 19:14","ODESZA","All We Need (feat. Shy Girls) - Autograf Remix","332776"
"2019-10-29 19:17","Shöckface","floating","212113"
"2019-10-29 19:23","Dave Knud","Breathless","280270"
"2019-10-29 19:27","Jaron","Venture","261428"
"2019-10-29 19:31","Death Cab for Cutie","I Dreamt We Spoke Again (Louis The Child Remix)","190399"
"2019-10-29 19:34","Alec Benjamin","Let Me Down Slowly","169353"
"2019-10-29 19:38","Com Truise","Ether Drift","260880"
"2019-10-29 19:39","Thalab","Good Swim","0"
"2019-10-29 19:39","Thalab","Good Swim","675"
"2019-10-29 19:39","Cuco","Lover Is a Day","5"
"2019-10-29 19:39","Lund","Low","317"
"2019-10-29 19:39","Lund","Low","138"
"2019-10-29 19:39","Lund","Low","591"
"2019-10-29 19:39","Com Truise","Ether Drift","0"
"2019-10-29 19:39","Rosenfeld","Do It for Me","6103"
"2019-10-29 19:39","Rosenfeld","Do It for Me","15000"
"2019-10-29 19:39","Rosenfeld","Do It for Me","0"
"2019-10-29 19:39","Tommy Newport","I Forgive You","0"
"2019-10-29 19:42","Rosenfeld","Do It for Me","202972"
"2019-10-29 19:58","Lund","Low","233962"
"2019-10-29 20:01","Tommy Newport","I Forgive You","177109"
"2019-10-29 20:07","Thalab","Good Swim","346606"
"2019-10-29 20:09","Cuco","Lover Is a Day","99098"
"2019-10-29 20:09","Cuco","Lover Is a Day","73"
"2019-10-29 20:09","Bronze Whale","Slowing Down","2556"
"2019-10-29 20:13","Tipper","Vection","247428"
"2019-10-29 20:25","Lydmor","五 Dim","109739"
"2019-10-29 20:45","Caroline Polachek","Door","297291"
"2019-10-29 20:49","Holy Holy","True Lovers","259964"
"2019-10-29 23:42","Caroline Polachek","Door","9502"
"2019-10-29 23:46","The Neighbourhood","Sweater Weather","240400"
"2019-10-29 23:50","Holy Holy","True Lovers","259964"
"2019-10-29 23:55","Stalgia","Bdy - Joe Mason Remix","262500"
"2019-10-29 23:58","Steve James","In My Head - Joe Masons Remix","227368"
"2019-10-29 23:59","Jaron","These Thoughts In My Head","48431"
"2019-10-30 00:02","Sean Arcure","Headspacey","160513"
"2019-10-30 00:06","Tame Impala","Borderline","156999"
"2019-10-30 00:11","Tame Impala","Borderline","275118"
"2019-10-30 00:15","Michl","Die Trying","209536"
"2019-10-30 00:18","Conan Gray","Crush Culture","204120"
"2019-10-30 00:19","Com Truise","Ether Drift","33503"
"2019-10-30 00:23","Caroline Polachek","Door","4974"
"2019-10-30 00:23","Lund","Low","233962"
"2019-10-30 00:28","ZHU","My Life","294351"
"2019-10-30 00:31","ZHU","Still Want U","213025"
"2019-10-30 00:34","Tom Walker","Karma","183772"
"2019-10-30 00:38","Imagine Dragons","Believer - Kaskade Remix","190893"
"2019-10-30 00:48","Chon","Story","3018"
"2019-10-30 00:52","Yoke Lore","Level Tools (ANIMA! Remix)","281454"
"2019-10-30 00:56","ODIE","Story","193201"
"2019-10-30 00:58","Billie Eilish","ilomilo","156370"
"2019-10-30 01:02","Conan Gray","Generation Why","219680"
"2019-10-30 01:05","WESLEE","Bathwater","198028"
"2019-10-30 01:10","Maggie Rogers","Fallingwater","271200"
"2019-10-30 01:15","GRiZ","Maybe","307308"
"2019-10-30 01:19","Stwo","Blue Sky (feat. Sunni Colon)","214779"
"2019-10-30 01:22","Mura Masa","What If I Go?","195466"
"2019-10-30 01:24","pluko","lost","153943"
"2019-10-30 01:28","Aloe Blacc","Brooklyn In The Summer","208214"
"2019-10-30 01:31","pluko","Feel The Fire - Breath Vocal Mix","201008"
"2019-10-30 01:38","Twiddle","Every Soul","353036"
