Artist,Song,Album,Date
ZZ Ward,Til the Casket Drops,Last Love Song,"January 14, 2018 at 02:38AM"
"ZZ Ward, Gary Clark Jr.",The Storm,Ride (feat. Gary Clark Jr.) - From “Cars 3” / Bonus track,"January 14, 2018 at 02:44AM"
"ZZ Ward, Fantastic Negrito",The Storm,Cannonball (feat. Fantastic Negrito),"January 14, 2018 at 02:48AM"
ZZ Ward,The Storm,Help Me Mama,"January 14, 2018 at 02:54AM"
ZZ Ward,Til the Casket Drops,Move Like U Stole It,"January 14, 2018 at 02:55AM"
ZZ Ward,Til the Casket Drops,Til the Casket Drops,"January 14, 2018 at 03:01AM"
ZZ Ward,The Storm,The Storm,"January 14, 2018 at 03:08AM"
ZZ Ward,The Storm,Let It Burn,"January 14, 2018 at 03:12AM"
ZZ Ward,The Storm,Bag of Bones,"January 14, 2018 at 03:21AM"
ZZ Ward,The Storm,Hold On,"January 14, 2018 at 03:24AM"
ZZ Ward,The Storm,If U Stayed,"January 14, 2018 at 03:27AM"
ZZ Ward,The Storm,She Ain't Me,"January 14, 2018 at 03:32AM"
ZZ Ward,Til the Casket Drops,Home,"January 14, 2018 at 03:47AM"
"ZZ Ward, Kendrick Lamar",Til the Casket Drops,Cryin Wolf (feat. Kendrick Lamar),"January 14, 2018 at 03:47AM"
ZZ Ward,Til the Casket Drops,Blue Eyes Blind,"January 14, 2018 at 11:12AM"
Kehlani,Suicide Squad: The Album,Gangsta,"January 14, 2018 at 01:35PM"
Jaden Smith,SYRE,Batman,"January 15, 2018 at 01:16AM"
Vic Mensa,The Autobiography,The Fire Next Time,"January 15, 2018 at 01:21AM"
Joey Bada$$,ALL-AMERIKKKAN BADA$$,TEMPTATION,"January 15, 2018 at 01:22AM"
"DVG, Meghan Tonjes",No Sleep,No Sleep,"January 15, 2018 at 01:31AM"
Joey Bada$$,ALL-AMERIKKKAN BADA$$,LAND OF THE FREE,"January 15, 2018 at 02:15AM"
Joey Bada$$,ALL-AMERIKKKAN BADA$$,FOR MY PEOPLE,"January 15, 2018 at 02:15AM"
Joey Bada$$,ALL-AMERIKKKAN BADA$$,Y U DON'T LOVE ME? (MISS AMERIKKKA),"January 15, 2018 at 02:59AM"
"Joey Bada$$, ScHoolboy Q",ALL-AMERIKKKAN BADA$$,ROCKABYE BABY (feat. ScHoolboy Q),"January 15, 2018 at 03:04AM"
Little Big Town,The Breaker,Better Man,"January 15, 2018 at 12:57PM"
Lil Pump,Lil Pump,Boss,"January 15, 2018 at 03:49PM"
"Charlie Heat, Ant Beale",No Rain No Flowers,Sunshine,"January 19, 2018 at 03:58PM"
"Supa Dupa Humble, Daz Léone",Humble Gardens,Grandmama's Couch (feat. Daz Léone),"January 19, 2018 at 04:02PM"
Lemaitre,1749,Not Too Late,"January 20, 2018 at 05:27PM"
Jaden Smith,SYRE,Watch Me,"January 20, 2018 at 06:09PM"
Jaden Smith,SYRE,Fallen,"January 20, 2018 at 07:34PM"
Drake,Scary Hours,God's Plan,"January 21, 2018 at 07:30PM"
Drake,Scary Hours,Diplomatic Immunity,"January 21, 2018 at 07:30PM"
The Fray,How To Save A Life,Over My Head (Cable Car),"January 22, 2018 at 03:41AM"
Sylvan LaCue,Apologies in Advance,Grateful,"January 22, 2018 at 03:51AM"
Sylvan LaCue,Apologies in Advance,5:55,"January 22, 2018 at 03:51AM"
"Kodak Black, PnB Rock",Lil Big Pac,Too Many Years,"January 22, 2018 at 03:51AM"
"Sylvan LaCue, Linzi Jai",Far from Familiar,Loner (feat. Linzi Jai),"January 22, 2018 at 03:54AM"
Denzel Curry,Imperial,This Life,"January 22, 2018 at 03:58AM"
Sylvan LaCue,Apologies in Advance,Best Me,"January 22, 2018 at 04:05AM"
Sylvan LaCue,Apologies in Advance,Guilt Trip,"January 22, 2018 at 04:13AM"
"Troy Ave, Young Lito",She Belongs to the Game (feat. Young Lito) - Single,She Belongs to the Game,"January 22, 2018 at 04:13AM"
Saba,Monday to Monday,Monday to Monday,"January 22, 2018 at 04:30AM"
J. Cole,Cole World: The Sideline Story,Never Told,"January 22, 2018 at 04:31AM"
Lil Skies,Life of a Dark Rose,Tell My Haters,"January 22, 2018 at 04:42AM"
Nick Leon,Monday Tuesday,She Thinks I Don't Care,"January 24, 2018 at 02:34PM"
HOMESHAKE,Fresh Air,Every Single Thing,"January 24, 2018 at 09:14PM"
BROCKHAMPTON,SATURATION III,BLEACH,"January 26, 2018 at 12:09AM"
Mitski,Bury Me At Makeout Creek,First Love / Late Spring,"January 26, 2018 at 04:33AM"
"nothing,nowhere., Dashboard Confessional",Reaper,Hopes Up (feat. Dashboard Confessional),"January 26, 2018 at 05:26AM"
"nothing,nowhere.",Letdown,Letdown,"January 26, 2018 at 05:38AM"
"nothing,nowhere.",Reaper,Clarity In Kerosene,"January 26, 2018 at 05:44AM"
"nothing,nowhere., Lil West",Reaper,REM (feat. Lil West),"January 26, 2018 at 06:07AM"
"nothing,nowhere.",Reaper,Houdini,"January 26, 2018 at 06:17AM"
"nothing,nowhere.",Bummer,I've Been Doing Well,"January 26, 2018 at 06:23AM"
"nothing,nowhere.",Reaper,Black Heart,"January 26, 2018 at 06:27AM"
"nothing,nowhere.",Reaper,Nevermore,"January 26, 2018 at 06:59AM"
"nothing,nowhere.",Reaper,Funeral Fantasy,"January 26, 2018 at 07:05AM"
Hotel Books,"Run Wild, Young Beauty",Nothing Was the Same,"January 26, 2018 at 07:46AM"
shinigami,Luna,Luna,"January 26, 2018 at 07:56AM"
Have Mercy,The Earth Pushed Back,Let's Talk About Your Hair,"January 26, 2018 at 08:02AM"
Oliver Francis,Essentials,Aahhyeahh,"January 26, 2018 at 08:18AM"
Killstation,Broken,Broken,"January 26, 2018 at 08:18AM"
"Emerson, Lake & Palmer",Trilogy,From the Beginning - 2015 - Remaster,"January 27, 2018 at 09:23PM"
"Cheat Codes, Demi Lovato",No Promises (feat. Demi Lovato),No Promises (feat. Demi Lovato),"January 28, 2018 at 03:31AM"
Shana Wilson,I Love You Live,Give Me You,"January 28, 2018 at 03:31AM"
Foo Fighters,One By One,All My Life,"January 28, 2018 at 11:13AM"
Zella Day,Seven Nation Army,Seven Nation Army,"February 1, 2018 at 04:12PM"
Zella Day,Kicker,Hypnotic,"February 1, 2018 at 04:17PM"
Zella Day,Kicker,Sweet Ophelia,"February 1, 2018 at 04:49PM"
"Zella Day, Baby E",Kicker,Mustang Kids,"February 1, 2018 at 05:07PM"
Zella Day,Man on the Moon / Hunnie Pie,Hunnie Pie,"February 1, 2018 at 06:03PM"
Zella Day,Kicker,1965,"February 1, 2018 at 06:10PM"
Zella Day,Kicker,East of Eden,"February 1, 2018 at 06:14PM"
Zella Day,Hypnotic (Vanic Remix),Hypnotic - Vanic Remix,"February 1, 2018 at 06:14PM"
flor,come out. you're hiding,hold on,"February 1, 2018 at 06:48PM"
Billie Eilish,dont smile at me,ocean eyes,"February 1, 2018 at 06:55PM"
LÉON,Treasure - EP,Tired of Talking,"February 1, 2018 at 07:08PM"
Mike Stud,Things I Like,Things I Like,"February 2, 2018 at 11:57AM"
Avril Lavigne,Let Go,Things I'll Never Say,"February 2, 2018 at 12:00PM"
La Femme,Psycho Tropical Berlin,Si un jour,"February 2, 2018 at 08:17PM"
Sean Paul,The Trinity,We Be Burnin' (Recognize It),"February 3, 2018 at 01:42AM"
Tech N9ne,Everready,Caribou Lou,"February 3, 2018 at 12:39PM"
Sean Paul,The Trinity,Temperature,"February 3, 2018 at 12:43PM"
Stone Temple Pilots,Purple,Interstate Love Song,"February 3, 2018 at 01:20PM"
Stone Temple Pilots,Meadow,Meadow,"February 3, 2018 at 01:20PM"
Zella Day,Kicker,Jerome,"February 3, 2018 at 03:00PM"
Zella Day,Kicker,High,"February 3, 2018 at 03:03PM"
Zella Day,Kicker,The Outlaw Josey Wales,"February 3, 2018 at 04:19PM"
Zella Day,Kicker,Ace of Hearts,"February 3, 2018 at 04:19PM"
Zella Day,Kicker,Jameson,"February 3, 2018 at 04:19PM"
Zella Day,Kicker,Shadow Preachers,"February 3, 2018 at 04:19PM"
Zella Day,Kicker,Compass,"February 3, 2018 at 04:19PM"
Jaymes Young,Feel Something,Tied Down,"February 3, 2018 at 05:03PM"
Olivia O'Brien,Complicated,Complicated,"February 3, 2018 at 05:10PM"
Hey Violet,From The Outside,Break My Heart,"February 3, 2018 at 05:25PM"
Bazzi,Mine,Mine,"February 4, 2018 at 03:11AM"
Marina and the Diamonds,FROOT,Savages,"February 4, 2018 at 10:45AM"
MisterWives,Connect The Dots,Drummer Boy,"February 4, 2018 at 10:53AM"
Bea Miller,yes girl,yes girl,"February 4, 2018 at 10:58AM"
BØRNS,Dopamine,Dopamine,"February 4, 2018 at 11:18AM"
Hayley Kiyoko,This Side of Paradise,This Side of Paradise,"February 4, 2018 at 11:26AM"
Bea Miller,chapter three: yellow,S.L.U.T.,"February 4, 2018 at 04:16PM"
Luna Shadows,Summertime,Waves,"February 4, 2018 at 04:22PM"
BØRNS,Dopamine,Fool,"February 4, 2018 at 04:23PM"
LÉON,Surround Me - EP,I Believe in Us,"February 4, 2018 at 04:35PM"
"Kiiara, Felix Snow",Whippin (feat. Felix Snow),Whippin (feat. Felix Snow),"February 4, 2018 at 04:49PM"
Wet,Don't You,You're the Best,"February 4, 2018 at 05:03PM"
"Marcellus Juvann, Kaiydo",The Great Escape,Thin Line,"February 5, 2018 at 10:07AM"
Amir Obe,None Of The Clocks Work,ENEMIES,"February 5, 2018 at 10:19AM"
"Pell, G-Eazy",Got It Like That (Eleven:11 Remix),Got It Like That - Eleven:11 Remix,"February 5, 2018 at 10:24AM"
"Young Money, Drake",Rise Of An Empire (Deluxe Edition),Trophies,"February 5, 2018 at 03:07PM"
Hopsin,Knock Madness,Tears To Snow,"February 5, 2018 at 03:11PM"
NF,Perception,My Life,"February 5, 2018 at 03:15PM"
Bea Miller,yes girl,yes girl,"February 5, 2018 at 06:23PM"
Frank Turner,Tape Deck Heart (Deluxe Edition),Recovery,"February 5, 2018 at 07:09PM"
"Jack Ü, Skrillex, Diplo, 2 Chainz",Skrillex and Diplo present Jack Ü,Febreze (feat. 2 Chainz),"February 6, 2018 at 12:45AM"
Set Mo,White Dress (feat. Deutsch Duke),White Dress (feat. Deutsch Duke) - Radio Edit,"February 6, 2018 at 12:49AM"
"ODESZA, Zyra",In Return,Say My Name (feat. Zyra),"February 6, 2018 at 12:52AM"
Hudson Mohawke,Scud Books,Scud Books,"February 6, 2018 at 01:13AM"
"G-Eazy, Danny Seth",Bone Marrow,Bone Marrow,"February 6, 2018 at 01:29AM"
Nebu Kiniza,Gassed Up,Gassed Up,"February 6, 2018 at 01:32AM"
Vic Mensa,There's Alot Going On,There's Alot Going On,"February 7, 2018 at 01:24AM"
Jazz Cartier,Dead Or Alive,Dead Or Alive,"February 7, 2018 at 01:24AM"
The Offspring,"Rise And Fall, Rage And Grace","You're Gonna Go Far, Kid","February 7, 2018 at 06:23PM"
Lil Uzi Vert,The Perfect LUV Tape,Erase Your Social,"February 7, 2018 at 06:23PM"
Travis Scott,Birds In The Trap Sing McKnight,beibs in the trap,"February 7, 2018 at 06:23PM"
Saint Motel,saintmotelevision,For Elise,"February 8, 2018 at 03:29PM"
WILD,Vagabond,Vagabond,"February 8, 2018 at 06:34PM"
WILD,Vagabond,Vagabond,"February 9, 2018 at 10:38AM"
Zella Day,Digster Live Session,East Of Eden - Digster Live Session,"February 9, 2018 at 12:35PM"
NF,Perception,One Hundred,"February 10, 2018 at 11:09AM"
The Weeknd,Trilogy,Valerie,"February 10, 2018 at 06:57PM"
Jonathan Thulin,Science Fiction,6 Feet Under,"February 11, 2018 at 12:27PM"
"Hermitude, Mataya, TAPZ",Dark Night Sweet Light,The Buzz (feat. Mataya & Young Tapz),"February 11, 2018 at 10:43PM"
"Cold War Kids, Bishop Briggs",LA DIVINE,So Tied Up,"February 11, 2018 at 10:46PM"
STRFKR,"Being No One, Going Nowhere",Open Your Eyes,"February 11, 2018 at 10:58PM"
Grouplove,Big Mess,Welcome To Your Life,"February 11, 2018 at 11:04PM"
Dermot Kennedy,Doves & Ravens,A closeness,"February 11, 2018 at 11:10PM"
"Kendrick Lamar, Travis Scott",Black Panther The Album Music From And Inspired By,Big Shot (with Travis Scott),"February 12, 2018 at 02:31PM"
"The Weeknd, Kendrick Lamar",Pray For Me (with Kendrick Lamar),Pray For Me (with Kendrick Lamar),"February 12, 2018 at 02:37PM"
Rex Orange County,Apricot Princess,Happiness,"February 12, 2018 at 02:55PM"
"Tyler, The Creator, Rex Orange County, Anna Of The North",Flower Boy,Boredom,"February 12, 2018 at 03:00PM"
Verhoog,Forget Her,Forget Her,"February 12, 2018 at 09:26PM"
"Moglii, NOVAA",Naboo,Fantasy,"February 12, 2018 at 09:34PM"
Cold Weather Company,A Folded Letter,From Rest,"February 12, 2018 at 09:38PM"
Sylo Nozra,This_era,Losing Myself,"February 12, 2018 at 09:44PM"
Sir Sly,"Don't You Worry, Honey",Altar,"February 12, 2018 at 09:46PM"
"EDEN, gnash",i think you think too much of me,Fumes,"February 12, 2018 at 10:02PM"
EDEN,i think you think too much of me,rock + roll,"February 13, 2018 at 01:56PM"
EDEN,i think you think too much of me,XO,"February 13, 2018 at 02:21PM"
EDEN,i think you think too much of me,sex,"February 13, 2018 at 02:21PM"
EDEN,i think you think too much of me,and,"February 13, 2018 at 02:21PM"
EDEN,End Credits,Wake Up,"February 13, 2018 at 02:39PM"
EDEN,vertigo,forever//over,"February 13, 2018 at 02:47PM"
Lauv,Breathe,Breathe,"February 13, 2018 at 02:53PM"
Jaymes Young,Feel Something,Stoned On You,"February 13, 2018 at 03:04PM"
Jaymes Young,Northern Lights,Northern Lights,"February 13, 2018 at 03:13PM"
Lund,Broken,Broken,"February 13, 2018 at 04:11PM"
Ansel Elgort,Supernova,Supernova,"February 13, 2018 at 08:06PM"
blackbear,Cashmere Noose (Deluxe),Flirt Right Back,"February 13, 2018 at 08:06PM"
EDEN,vertigo,icarus,"February 13, 2018 at 08:29PM"
"gnash, Goody Grace",me,that one song,"February 13, 2018 at 08:46PM"
"Kris Wu, Rich Brian, Joji, Trippie Redd, Baauer",18,18,"February 14, 2018 at 01:51AM"
"Jay Critch, Rich The Kid",Fashion (feat. Rich The Kid),Fashion (feat. Rich The Kid),"February 14, 2018 at 02:12AM"
"BlocBoy JB, Drake",Look Alive (feat. Drake),Look Alive (feat. Drake),"February 14, 2018 at 02:21AM"
Trippie Redd,A Love Letter To You,Love Scars,"February 14, 2018 at 02:24AM"
Chase Atlantic,OBSESSIVE,OBSESSIVE,"February 14, 2018 at 12:54PM"
BANNERS,Empires On Fire,Someone To You,"February 14, 2018 at 12:54PM"
Tenth Avenue North,Followers,Control (Somehow You Want Me),"February 14, 2018 at 12:59PM"
Lewis Capaldi,Bloom - EP,Bruises,"February 15, 2018 at 10:58PM"
Vallis Alps,East,East,"February 17, 2018 at 01:55AM"
Lana Del Rey,Born To Die - The Paradise Edition,Gods & Monsters,"February 17, 2018 at 02:00PM"
Rae Sremmurd,Look Alive,Look Alive,"February 18, 2018 at 01:14PM"
NF,NO NAME,NO NAME,"February 20, 2018 at 12:58PM"
NF,Perception,Lie,"February 20, 2018 at 03:51PM"
NF,Perception,3 A.M.,"February 20, 2018 at 03:51PM"
NF,Perception,Know,"February 20, 2018 at 03:51PM"
NF,Perception,You're Special,"February 20, 2018 at 03:51PM"
NF,Perception,Destiny,"February 20, 2018 at 03:51PM"
NF,Perception,Outro,"February 20, 2018 at 03:51PM"
NF,Therapy Session,Real,"February 20, 2018 at 04:23PM"
NF,Therapy Session,Wish You Wouldn't,"February 20, 2018 at 04:23PM"
NF,Therapy Session,I Just Wanna Know,"February 20, 2018 at 04:23PM"
NF,Therapy Session,Oh Lord,"February 20, 2018 at 04:23PM"
NF,Therapy Session,Got You On My Mind,"February 20, 2018 at 04:23PM"
NF,Therapy Session,Statement,"February 20, 2018 at 04:23PM"
"NF, Marty",Therapy Session,Grindin',"February 20, 2018 at 04:23PM"
NF,Therapy Session,Breathe,"February 20, 2018 at 04:23PM"
NF,Therapy Session,Intro 2,"February 20, 2018 at 04:23PM"
NF,Therapy Session,I Can Feel It,"February 20, 2018 at 04:23PM"
NF,Therapy Session,All I Do,"February 20, 2018 at 04:23PM"
Ace Hood,Be Calm,Be Calm,"February 21, 2018 at 02:55AM"
MIKA,Life in Cartoon Motion,Grace Kelly,"February 22, 2018 at 02:44AM"
Jay Critch,Adlibs,Adlibs,"February 22, 2018 at 09:55AM"
Phora,Nights Like These,Late Nights in the City,"February 22, 2018 at 10:21AM"
J. Cole,Cole World: The Sideline Story,Sideline Story,"February 22, 2018 at 10:27AM"
"Kid Cudi, Kanye West",Man On The Moon II: The Legend Of Mr. Rager,Erase Me - Main,"February 22, 2018 at 10:30AM"
Eminem,Curtain Call,When I'm Gone,"February 22, 2018 at 12:42PM"
Phora,Yours Truly Forever,God,"February 22, 2018 at 03:46PM"
Drake,Nothing Was The Same,Worst Behavior,"February 22, 2018 at 04:20PM"
Post Malone,Stoney (Deluxe),Cold,"February 22, 2018 at 04:24PM"
"Post Malone, Ty Dolla $ign",Psycho (feat. Ty Dolla $ign),Psycho (feat. Ty Dolla $ign),"February 23, 2018 at 12:54PM"
"Liam Payne, Rita Ora","For You (Fifty Shades Freed) [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]",For You (Fifty Shades Freed) (& Rita Ora),"February 23, 2018 at 02:04PM"
Jorge Muñiz,"Azulejos (En Vivo Desde La Casa De Los Azulejos, México/ 2015)","La Memoria Del Corazón - En Vivo Desde La Casa De Los Azulejos, México/ 2015","February 24, 2018 at 01:31AM"
Zoé,MTV Unplugged Música De Fondo,Soñé,"February 24, 2018 at 01:39AM"
Camilo Sesto,Camilo,¿Quieres Ser Mi Amante?,"February 24, 2018 at 04:20AM"
Maroon 5,Overexposed (Deluxe),Daylight,"February 24, 2018 at 05:12AM"
Lorde,Pure Heroine,Tennis Court,"February 24, 2018 at 11:18PM"
Lorde,Pure Heroine,Buzzcut Season,"February 24, 2018 at 11:31PM"
Logic,44 More,44 More,"February 25, 2018 at 04:17PM"
Dermot Kennedy,Moments Passed,Moments Passed,"February 26, 2018 at 07:38PM"
Dean Lewis,Waves,Waves,"February 26, 2018 at 08:21PM"
Luke Gawne,Jungle,Jungle,"February 27, 2018 at 02:12PM"
Saint Motel,saintmotelevision,Happy Accidents,"February 27, 2018 at 04:20PM"
Cadence Kid,Hold on Me,Hold on Me,"February 27, 2018 at 04:24PM"
Matthew Chaim,Now I Do,Now I Do,"February 27, 2018 at 04:29PM"
Always Never,Tragedy,Tragedy,"February 27, 2018 at 04:32PM"
"Mir Fontane, Kam De La",Who's Watching the Kids,Twenty Five (feat. Kam De La),"February 27, 2018 at 04:36PM"
Will Champlin,Borrowing Trouble,Surgical Rewind,"February 27, 2018 at 04:44PM"
TomPepe,CupaTea,The River Runs Deep,"February 27, 2018 at 04:44PM"
Chopped Up Tulips,Tulips in Bloom - EP,Wait for the Sun,"February 27, 2018 at 04:45PM"
"Tommy Swisher, Brad Jennings",Runway to the Moon,Fall for Me,"February 27, 2018 at 04:49PM"
Anders,As Before,As Before,"February 27, 2018 at 04:53PM"
Stupid Kids,Stupid Kids - EP,Need Each Other,"February 27, 2018 at 04:54PM"
"Goody Grace, gnash",Two Shots (feat. gnash),Two Shots (feat. gnash),"February 27, 2018 at 04:58PM"
La Bouquet,Loveless (Stripped),Loveless (Stripped),"February 27, 2018 at 06:16PM"
"Futuristic, NF",Epiphany (feat. NF),Epiphany (feat. NF),"February 27, 2018 at 06:16PM"
OnCue,Leftovers 2.1,DSFM,"February 27, 2018 at 06:27PM"
Delta Rae,All Good People,All Good People,"March 2, 2018 at 08:54PM"
HONNE,Gone Are The Days (Shimokita Import),3:00 AM,"March 5, 2018 at 02:42AM"
Matchbox Twenty,Yourself Or Someone Like You,3:00 AM,"March 5, 2018 at 02:42AM"
Koven,Come to Light - EP,Everything,"March 6, 2018 at 10:01AM"
Dbangz,Thick Niggas and Anime Tiddies,Thick Niggas and Anime Tiddies,"March 6, 2018 at 10:27AM"
The Hunna,100,She's Casual,"March 8, 2018 at 02:28PM"
Denim Blue & Miclain Keith,Collapse,Pills,"March 8, 2018 at 02:30PM"
The Man Who,This High,This High,"March 8, 2018 at 02:41PM"
Hippie Sabotage,Providence,Devil Eyes,"March 8, 2018 at 02:44PM"
The Marphoi Project,All Colours of Earth,All Colours of Earth,"March 8, 2018 at 02:51PM"
Ryan Oakes,The Ryan Oakes Project,Drinking About You,"March 8, 2018 at 02:51PM"
"Whittaker, Tyler Joseph",Clear,Rulers of Reverse (feat. Tyler Joseph),"March 8, 2018 at 02:57PM"
Written by Wolves,Young and Beautiful (The Secret Sessions),Young and Beautiful (The Secret Sessions),"March 8, 2018 at 03:01PM"
John the Ghost,Sour Grapes,Sour Grapes,"March 8, 2018 at 03:04PM"
The Madison Letter,Ringleader,Ringleader,"March 8, 2018 at 03:09PM"
D-A-L,Change the World,Change the World,"March 8, 2018 at 03:13PM"
Cardiff Brothers,I've Been Thinkin,I've Been Thinkin,"March 8, 2018 at 03:14PM"
Nate Good,Microphone,Microphone,"March 8, 2018 at 03:22PM"
"nomad, Dave Dobbyn",I Will Find You,I Will Find You,"March 8, 2018 at 03:24PM"
Ryan Caraveo,Swings,Paradise,"March 8, 2018 at 03:33PM"
