"endTime","artistName","trackName","msPlayed"
"2019-01-06 20:43","Unknown Artist","Unknown Track","191503"
"2019-01-06 20:51","Hippie Sabotage","Your Soul","330034"
"2019-01-06 20:57","Still Corners","The Trip","374240"
"2019-01-06 20:59","The Zeitgeists","We Dem Boyz","718"
"2019-01-06 20:59","Sanders Bohlke","Search and Destroy","72361"
"2019-01-06 21:32","The Zeitgeists","Selfies","5018"
"2019-01-07 00:42","Unknown Artist","Unknown Track","191503"
"2019-01-07 00:43","The Zeitgeists","We Dem Boyz","27889"
"2019-01-07 00:46","The Zeitgeists","Selfies","209089"
"2019-01-07 00:49","The Zeitgeists","We Dem Boyz","191452"
"2019-01-07 00:54","The Zeitgeists","Red Lights","263418"
"2019-01-07 00:57","The Zeitgeists","Trophies","184812"
"2019-01-07 01:00","The Zeitgeists","The Moon Song","181972"
"2019-01-07 01:03","The Zeitgeists","The Moon Song","0"
"2019-01-07 01:03","The Zeitgeists","Trophies","236"
"2019-01-07 01:03","The Zeitgeists","Trophies","204"
"2019-01-07 01:03","The Zeitgeists","Ain't It Fun","177114"
"2019-01-07 01:03","The Zeitgeists","Ain't It Fun","0"
"2019-01-07 01:03","The Zeitgeists","Wizard","312"
"2019-01-07 01:03","The Zeitgeists","Dr. Who!","0"
"2019-01-07 01:03","The Zeitgeists","Red Lights","0"
"2019-01-07 01:03","The Zeitgeists","Welcome to the Jungle","6529"
"2019-01-07 01:03","The Zeitgeists","Waves","0"
"2019-01-07 01:03","The Zeitgeists","Summer","0"
"2019-01-07 01:07","Triple One","Lakes.","194000"
"2019-01-07 01:13","Still Corners","The Trip","374240"
"2019-01-07 01:20","RKCB","Elevated","27703"
"2019-01-07 01:27","Hippie Sabotage","Your Soul","324806"
"2019-01-07 01:30","Unknown Artist","Unknown Track","191503"
"2019-01-07 01:33","Triple One","Lakes.","194000"
"2019-01-07 01:37","Lil Peep","Save That Shit","231546"
"2019-01-07 01:41","Lund","By My Side","215553"
"2019-01-07 01:45","Tove Lo","Habits (Stay High) - Hippie Sabotage Remix","258933"
"2019-01-07 02:01","Elliot Moss","Slip","91067"
"2019-01-07 02:59","Unknown Artist","Unknown Track","134100"
"2019-01-07 03:09","eevee","better","2650"
"2019-01-07 04:17","hooligan chase","Asshole","2830"
"2019-01-07 04:17","Egzod","My City","4420"
"2019-01-07 04:18","Aeris Roves","Feel Me - Single Version","2530"
"2019-01-07 05:24","Triple One","Lakes.","200"
"2019-01-07 05:28","Triple One","Lakes.","194000"
"2019-01-07 05:31","Vance Joy","Like Gold","224400"
"2019-01-07 05:35","Aeris Roves","Feel Me - Single Version","211765"
"2019-01-07 05:38","Egzod","My City","166342"
"2019-01-07 05:46","Triple One","Lakes.","32790"
"2019-01-07 05:46","Triple One","Lakes.","194000"
"2019-01-07 05:50","Lund","By My Side","229411"
"2019-01-07 05:54","Lil Happy Lil Sad","Let Me Die","218775"
"2019-01-07 06:00","Still Corners","The Trip","374240"
"2019-01-07 06:05","Hippie Sabotage","Your Soul","324806"
"2019-01-07 06:12","Roosevelt","Sea","370833"
"2019-01-07 06:16","anatu","Bleach","247765"
"2019-01-07 06:19","Zachary Knowles","slow down my thoughts","205229"
"2019-01-07 06:26","Sanders Bohlke","Search and Destroy","389039"
"2019-01-07 06:31","Hippie Sabotage","Your Soul","324806"
"2019-01-07 10:29","Still Corners","The Trip","33078"
"2019-01-07 15:55","Hippie Sabotage","Your Soul","4959"
"2019-01-07 15:55","Triple One","Lakes.","194000"
"2019-01-07 15:58","Zonderling","Nightcall (feat. Kye Sones)","208690"
"2019-01-07 16:01","K.Flay","Blood In The Cut - Aire Atlantica Remix","199213"
"2019-01-07 16:05","Triple One","Lakes.","194000"
"2019-01-07 16:08","Lil Xan","Betrayed","187453"
"2019-01-07 16:11","6ix9ine","GOTTI","166851"
"2019-01-07 16:14","Lund","By My Side","229411"
"2019-01-07 16:19","Tove Lo","Habits (Stay High) - Hippie Sabotage Remix","258933"
"2019-01-07 16:25","Hippie Sabotage","Your Soul","169952"
"2019-01-07 16:29","Triple One","Lakes.","194000"
"2019-01-07 16:32","Unlike Pluto","Late Bloomer","186141"
"2019-01-07 16:35","Travis Scott","CAN'T SAY","198408"
"2019-01-07 16:40","OnCue","DSFM","290659"
"2019-01-07 16:44","VHS Collection","So I Met Someone","220666"
"2019-01-07 16:48","James Arthur","Recovery","277866"
"2019-01-07 16:51","alt-J","Tessellate","171750"
"2019-01-07 17:00","EDEN","start//end","462623"
"2019-01-07 17:04","Miguel","waves - Tame Impala Remix","253346"
"2019-01-07 17:08","Lemaitre","Not Too Late","220261"
"2019-01-07 17:11","Moon Taxi","Not Too Late","195826"
"2019-01-07 17:18","Majid Jordan","Small Talk","259173"
"2019-01-07 17:21","Seafret","Angel of Small Death and the Codeine Scene - BBC Live Version","207226"
"2019-01-07 17:25","The Weeknd","Shameless","253506"
"2019-01-07 17:32","Matt Maeson","Put It On Me","208026"
"2019-01-07 17:32","HONNE","Feels So Good ◑","646"
"2019-01-07 17:36","OneRepublic","If I Lose Myself","213829"
"2019-01-07 17:40","OneRepublic","Better","204386"
"2019-01-07 17:44","HONNE","Day 1 ◑","233600"
"2019-01-07 17:48","Kid Cudi","Rose Golden","251387"
"2019-01-07 17:48","Bryce Vine","Drew Barrymore","0"
"2019-01-07 17:48","Towkio","Hot Shit","521"
"2019-01-07 17:53","Towkio","Hot Shit","219120"
"2019-01-07 17:56","Bryce Vine","Drew Barrymore","190471"
"2019-01-07 17:59","Bryce Vine","The Fall","156991"
"2019-01-07 18:04","Lana Del Rey","Heroin","310209"
"2019-01-07 18:09","Lana Del Rey","Born To Die","285400"
"2019-01-07 18:13","Adam Jensen","The Mystic","189600"
"2019-01-07 18:18","NAV","What I Need / Daheala Outro","300986"
"2019-01-07 18:21","Imagine Dragons","Yesterday","205113"
"2019-01-07 18:25","Imagine Dragons","Whatever It Takes","201240"
"2019-01-07 18:30","The Mowgli's","Kansas City","161521"
"2019-01-07 18:34","Mansionair","Easier","272599"
"2019-01-07 18:53","Covey","Stranger","1446"
"2019-01-07 18:53","Verzache","Waiting for You","207598"
"2019-01-07 19:06","Roy Woods","In the Club","195088"
"2019-01-07 19:10","Roy Woods","Got Me","218084"
"2019-01-07 19:13","Roy Woods","Involved","181224"
"2019-01-07 19:17","Roy Woods","Get You Good","226632"
"2019-01-07 19:20","Steve James","In My Head - Joe Masons Remix","227368"
"2019-01-07 19:47","Daughter","Youth","161842"
